City Name,State,Population
SKAGWAY,Alaska,9411
KETCHIKAN,Alaska,450
HYDABURG,Alaska,415
COFFMAN COVE,Alaska,199
KETCHIKAN,Alaska,27
KASAAN,Alaska,46
KETCHIKAN,Alaska,60
ANGOON,Alaska,450
HOONAH,Alaska,980
KAKE,Alaska,415
PELICAN,Alaska,230
YAKUTAT,Alaska,740
ANCHORAGE,Alaska,100
EAGLE RIVER,Alaska,47
ANCHORAGE,Alaska,993
ANCHORAGE,Alaska,480
ANCHORAGE,Alaska,45
CHUGIAK,Alaska,99
ANCHORAGE,Alaska,493
ANCHORAGE,Alaska,48
ANCHORAGE,Alaska,130
ANCHORAGE,Alaska,350
ANCHORAGE,Alaska,70
ANCHORAGE,Alaska,63
ANCHORAGE,Alaska,650
ANCHORAGE,Alaska,1005
ANCHORAGE,Alaska,242
FAIRBANKS,Alaska,20284
ANCHORAGE,Alaska,50
ANCHORAGE,Alaska,65
CHUGIAK,Alaska,48
CHUGIAK,Alaska,48
EAGLE RIVER,Alaska,50
WASILLA,Alaska,110
BIG LAKE,Alaska,1166
BIG LAKE,Alaska,465
ANCHORAGE,Alaska,55
ANCHORAGE,Alaska,232
ENUMCLAW,Alaska,62
ANCHORAGE,Alaska,50
BIG LAKE,Alaska,75
ANCHORAGE,Alaska,210
WOODS CROSS,Alaska,192
PALMER,Alaska,188
WASILLA,Alaska,72
WASILLA,Alaska,276
BIG LAKE,Alaska,30
WASILLA,Alaska,77
WASILLA,Alaska,80
WASILLA,Alaska,47
WASILLA,Alaska,37
WASILLA,Alaska,250
ANCHORAGE,Alaska,2733
ANCHORAGE,Alaska,75
WASILLA,Alaska,575
ANCHORAGE,Alaska,180
WASILLA,Alaska,100
PALMER,Alaska,120
PALMER,Alaska,120
ANCHORAGE,Alaska,147
WASILLA,Alaska,75
WASILLA,Alaska,168
WASILLA,Alaska,74
WASILLA,Alaska,90
WASILLA,Alaska,546
WASILLA,Alaska,18492
WASILLA,Alaska,250
PALMER,Alaska,1850
WASILLA,Alaska,55
DENALI PARK,Alaska,1156
WASILLA,Alaska,1025
WASILLA,Alaska,505
PALMER,Alaska,47
PALMER,Alaska,307
WASILLA,Alaska,136
PALMER,Alaska,56
PALMER,Alaska,90
SUTTON,Alaska,110
PALMER,Alaska,67
WASILLA,Alaska,125
WASILLA,Alaska,50
PALMER,Alaska,950
PALMER,Alaska,80
CHUGIAK,Alaska,36
KENAI,Alaska,5700
NANWALEK,Alaska,281
TYONEK,Alaska,206
KENAI,Alaska,100
SEWARD,Alaska,3324
SOLDOTNA,Alaska,125
SOLDOTNA,Alaska,51
KENAI,Alaska,147
SOLDOTNA,Alaska,175
KENAI,Alaska,60
SOLDOTNA,Alaska,170
