Primacy Agency,PWS ID,PWS Name,Population Served,City Name,Compliance Period Begin Date,Compliance Period End Date
EPA Region 1,010307001,Aquinnah Wampanoag,72,Chilmark,01-Jan-2011,31-Dec-2019
EPA Region 1,010307001,Aquinnah Wampanoag,72,Chilmark,01-Jan-2023,31-Dec-2023
EPA Region 1,010502003,Narragansett Four Winds Community Center,50,Charlestown,01-Jan-2019,31-Dec-2021
EPA Region 4,042800001,CHOCTAW - BOGUE CHITTO,"1,180",CHOCTAW,01-Jan-2014,31-Dec-2016
EPA Region 4,042800001,CHOCTAW - BOGUE CHITTO,"1,180",CHOCTAW,01-Jan-2011,31-Dec-2013
EPA Region 4,042800002,CHOCTAW - CONEHATTA,"1,201",CHOCTAW,01-Jan-2014,31-Dec-2016
EPA Region 4,042800004,CHOCTAW - TUCKER,920,CHOCTAW,01-Jan-2014,31-Dec-2016
EPA Region 5,050593105,BAY MILLS RESORT & CASINO,"1,978",BRIMLEY,01-Jan-2008,31-Dec-2010
EPA Region 5,050593203,SAGANING,"4,706",MOUNT PLEASANT,01-Jan-2021,31-Dec-2021
EPA Region 5,050593203,SAGANING,"4,706",MOUNT PLEASANT,01-Jan-2019,31-Dec-2019
EPA Region 5,050593203,SAGANING,"4,706",MOUNT PLEASANT,01-Jan-2022,31-Dec-2022
EPA Region 5,050593911,RODGERS LAKE,530,DOWAGIAC,01-Jan-2021,31-Dec-2021
EPA Region 5,050594204,BUG-O-NAY-GE-SHIG SCHOOL,520,CASS LAKE,01-Jan-2011,31-Dec-2013
EPA Region 5,050594204,BUG-O-NAY-GE-SHIG SCHOOL,520,CASS LAKE,01-Jan-2017,31-Dec-2019
EPA Region 5,050594210,NORTHERN LIGHTS CASINO,"1,650",CASS LAKE,01-Jan-2011,31-Dec-2013
EPA Region 5,050594220,BALL CLUB HEAD START,25,CASS LAKE,01-Jan-2014,31-Dec-2014
EPA Region 5,050594221,ONIGUM HEAD START,25,CASS LAKE,01-Jan-2017,31-Dec-2019
EPA Region 5,050594602,7-CLANS HOTEL/WATER PARK AND CASINO,790,RED LAKE,01-Jan-2014,31-Dec-2016
EPA Region 5,050594602,7-CLANS HOTEL/WATER PARK AND CASINO,790,RED LAKE,01-Jan-2008,31-Dec-2010
EPA Region 5,050595305,SEVENWINDS CASINO,"1,900",HAYWARD,01-Jan-2020,31-Dec-2022
EPA Region 5,050595305,SEVENWINDS CASINO,"1,900",HAYWARD,01-Jan-2011,31-Dec-2013
EPA Region 5,050595307,SEVENWINDS LODGE AND CONVENTION CENTER,782,HAYWARD,01-Jan-2020,31-Dec-2022
EPA Region 5,050595307,SEVENWINDS LODGE AND CONVENTION CENTER,782,HAYWARD,01-Jan-2011,31-Dec-2013
EPA Region 5,050595307,SEVENWINDS LODGE AND CONVENTION CENTER,782,HAYWARD,01-Jan-2002,31-Dec-2004
EPA Region 5,055293201,MT. PLEASANT,"10,198",MOUNT PLEASANT,01-Jan-2017,31-Dec-2019
EPA Region 5,055293302,ZEBA,350,BARAGA,01-Jan-2004,31-Dec-2004
EPA Region 5,055293302,ZEBA,350,BARAGA,01-Jan-2021,31-Dec-2021
EPA Region 5,055293302,ZEBA,350,BARAGA,01-Jan-2002,31-Dec-2002
EPA Region 5,055293401,LAC VIEUX DESERT,"1,740",WATERSMEET,01-Jan-2017,31-Dec-2019
EPA Region 5,055293603,EAST BAY WATER WORKS,"7,284",,01-Jan-2017,31-Dec-2019
EPA Region 5,055293702,LITTLE RIVER TRIBAL WATER SYSTEM,"3,921",MANISTEE,01-Jan-2011,31-Dec-2013
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2018,31-Dec-2018
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2012,31-Dec-2012
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2022,31-Dec-2022
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2023,31-Dec-2023
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2021,31-Dec-2021
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2017,31-Dec-2017
EPA Region 5,055294101,GRAND PORTAGE,820,GRAND PORTAGE,01-Jan-2016,31-Dec-2016
EPA Region 5,055294204,INGER,186,CASS LAKE,03-Dec-2007,02-Dec-2013
EPA Region 5,055294204,INGER,186,CASS LAKE,01-Jan-2008,31-Dec-2010
EPA Region 5,055294301,VINELAND,"4,220",ONAMIA,01-Jan-2017,31-Dec-2019
EPA Region 5,055294304,APPLE ORCHARD,74,ONAMIA,01-Jan-2017,31-Dec-2019
EPA Region 5,055294401,NETT LAKE,386,NETT LAKE,01-Jan-2017,31-Dec-2019
EPA Region 5,055294402,VERMILION,"2,486",NETT LAKE,01-Jan-1999,31-Dec-2001
EPA Region 5,055294402,VERMILION,"2,486",NETT LAKE,01-Jan-2005,31-Dec-2007
EPA Region 5,055294502,PRAIRIE ISLAND,"6,699",WELCH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294503,LOWER SIOUX,"4,000",MORTON,01-Jan-2008,31-Dec-2010
EPA Region 5,055294503,LOWER SIOUX,"4,000",MORTON,01-Jan-2014,31-Dec-2016
EPA Region 5,055294602,REDBY/RED LAKE,"2,099",RED LAKE,01-Jan-2020,31-Dec-2022
EPA Region 5,055294602,REDBY/RED LAKE,"2,099",RED LAKE,01-Jan-2008,31-Dec-2010
EPA Region 5,055294603,PONEMAH,371,RED LAKE,01-Jan-2008,31-Dec-2010
EPA Region 5,055294701,NAYTAHWAUSH,462,WHITE EARTH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294701,NAYTAHWAUSH,462,WHITE EARTH,01-Jan-2008,31-Dec-2010
EPA Region 5,055294702,PONSFORD/PINE POINT,85,WHITE EARTH,01-Jan-2008,31-Dec-2010
EPA Region 5,055294702,PONSFORD/PINE POINT,85,WHITE EARTH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294703,RICE LAKE,65,WHITE EARTH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294703,RICE LAKE,65,WHITE EARTH,01-Jan-2008,31-Dec-2010
EPA Region 5,055294704,WHITE EARTH,388,WHITE EARTH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294704,WHITE EARTH,388,WHITE EARTH,01-Jan-2008,31-Dec-2010
EPA Region 5,055294705,ELBOW LAKE,50,WHITE EARTH,01-Jan-2008,31-Dec-2010
EPA Region 5,055294705,ELBOW LAKE,50,WHITE EARTH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294708,CHIPPEWA RANCH,25,WHITE EARTH,01-Jan-2017,31-Dec-2019
EPA Region 5,055294708,CHIPPEWA RANCH,25,WHITE EARTH,01-Jan-2008,31-Dec-2010
EPA Region 5,055294902,UPPER SIOUX COMMUNITY,"1,900",GRANITE FALLS,01-Jan-2017,31-Dec-2019
EPA Region 5,055295102,NEW ODANAH,"1,839",ASHLAND,01-Jan-2017,31-Dec-2019
EPA Region 5,055295103,BIRCH HILL,322,ASHLAND,01-Jan-2017,31-Dec-2019
EPA Region 5,055295104,FRANKS FIELD,242,ASHLAND,01-Jan-2017,31-Dec-2019
EPA Region 5,055295201,STONE LAKE COMMUNITY,851,CRANDON,01-Jan-2008,31-Dec-2010
EPA Region 5,055295205,CARTER COMMUNITY,634,CRANDON,01-Jan-2008,31-Dec-2010
EPA Region 5,055295301,NEW POST,150,HAYWARD,01-Jan-2020,31-Dec-2022
EPA Region 5,055295310,DRY TOWN,"3,030",HAYWARD,01-Jan-2020,31-Dec-2022
EPA Region 5,055295504,TRAILER COURT,68,KESHENA,01-Jan-2011,31-Dec-2013
EPA Region 5,055295504,TRAILER COURT,68,KESHENA,01-Jan-2008,31-Dec-2010
EPA Region 5,055295505,RED WING,100,KESHENA,01-Jan-2008,31-Dec-2010
EPA Region 5,055295505,RED WING,100,KESHENA,01-Jan-2011,31-Dec-2013
EPA Region 5,055295507,MIDDLE VILLAGE,310,KESHENA,01-Jan-2008,31-Dec-2010
EPA Region 5,055295507,MIDDLE VILLAGE,310,KESHENA,01-Jan-2011,31-Dec-2013
EPA Region 5,055295601,MOLE LAKE,"1,260",CRANDON,01-Jan-2002,31-Dec-2004
EPA Region 5,055295601,MOLE LAKE,"1,260",CRANDON,01-Jan-2008,31-Dec-2010
EPA Region 5,055295601,MOLE LAKE,"1,260",CRANDON,01-Jan-2017,31-Dec-2019
EPA Region 5,055295705,SAND HILL,38,ONEIDA,01-Jan-2008,31-Dec-2010
EPA Region 5,055295802,RED CLIFF NORTH,"2,080",BAYFIELD,01-Jan-2011,31-Dec-2013
EPA Region 5,055295802,RED CLIFF NORTH,"2,080",BAYFIELD,01-Jan-2017,31-Dec-2019
EPA Region 5,055295802,RED CLIFF NORTH,"2,080",BAYFIELD,01-Jan-2008,31-Dec-2010
EPA Region 5,055295901,MAPLE PLAIN,144,WEBSTER,01-Jan-2017,31-Dec-2019
EPA Region 5,055295902,HERTEL WEST,"1,281",WEBSTER,01-Jan-2017,31-Dec-2019
EPA Region 6,062001458,ABSENTEE SHAWNEE LITTLE AXE SOUTH CASINO,825,SHAWNEE,01-Jan-2012,31-Dec-2014
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Jul-2019,30-Sep-2019
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Apr-2019,30-Jun-2019
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Jan-2019,31-Mar-2019
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Apr-2012,30-Jun-2012
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Oct-2011,31-Dec-2011
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Jul-2011,30-Sep-2011
EPA Region 6,063500110,JEMEZ PUEBLO,"3,200",JEMEZ,01-Jul-2009,30-Sep-2009
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Jan-2005,31-Dec-2007
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Apr-2009,30-Jun-2009
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Oct-2023,31-Oct-2023
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Oct-2020,31-Dec-2020
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-May-2021,31-May-2021
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Jan-2020,31-Mar-2020
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Apr-2020,30-Jun-2020
EPA Region 6,063500119,NAMBE PUEBLO,800,NAMBE,01-Jul-2020,30-Sep-2020
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jan-2024,31-Mar-2024
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jul-2022,30-Sep-2022
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jan-2022,31-Mar-2022
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Apr-2022,30-Jun-2022
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Oct-2023,31-Dec-2023
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Oct-2022,31-Dec-2022
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jul-2023,30-Sep-2023
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jan-2023,31-Mar-2023
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Apr-2023,30-Jun-2023
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Apr-2015,30-Jun-2015
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jan-2015,31-Mar-2015
EPA Region 6,063500123,ZIA PUEBLO,771,ZIA PUEBLO,01-Jul-2010,30-Sep-2010
EPA Region 6,063500880,FORT SILL APACHE TRIBE TRUCK STOP,754,APACHE,01-Jan-2024,31-Mar-2024
EPA Region 6,063500880,FORT SILL APACHE TRIBE TRUCK STOP,754,APACHE,01-Jul-2023,30-Sep-2023
EPA Region 6,063501001,ACOMA MAIN,"2,374",ACOMA,01-Jan-2018,31-Dec-2018
EPA Region 6,063501100,POJOAQUE SOUTH,"3,644",SANTA FE,01-Oct-2022,31-Dec-2022
EPA Region 6,063501100,POJOAQUE SOUTH,"3,644",SANTA FE,01-Jan-2024,31-Mar-2024
EPA Region 6,063501109,ISLETA EASTSIDE,"9,160",ISLETA,01-Jan-2010,31-Mar-2010
EPA Region 6,063501124,ZUNI PUEBLO,"11,888",ZUNI,01-Jan-2023,31-Mar-2023
EPA Region 6,063501124,ZUNI PUEBLO,"11,888",ZUNI,01-Oct-2022,31-Dec-2022
EPA Region 6,063501124,ZUNI PUEBLO,"11,888",ZUNI,01-Jul-2022,30-Sep-2022
EPA Region 6,063501124,ZUNI PUEBLO,"11,888",ZUNI,01-Apr-2022,30-Jun-2022
EPA Region 6,063501124,ZUNI PUEBLO,"11,888",ZUNI,01-Apr-2022,30-Jun-2022
EPA Region 6,063501160,SAN FELIPE PUEBLO,"4,335",SAN FELIPE PUEBLO,01-Jan-2014,31-Dec-2014
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Apr-2020,30-Jun-2020
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Jul-2010,30-Sep-2010
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Oct-2016,31-Dec-2016
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Jul-2016,30-Sep-2016
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Jul-2013,30-Sep-2013
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Jul-2011,30-Sep-2011
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Jan-2017,31-Mar-2017
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Jan-2010,31-Mar-2010
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Apr-2010,30-Jun-2010
EPA Region 6,063503118,SANTA ANA WESTSIDE,"10,691",SANTA ANA PUEBLO,01-Apr-2010,30-Jun-2010
EPA Region 6,063504118,SANTA ANA EASTSIDE,759,SANTA ANA PUEBLO,01-Apr-2010,30-Jun-2010
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Jul-2023,30-Sep-2023
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Apr-2014,30-Jun-2014
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Apr-2014,30-Jun-2014
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Jan-2019,31-Mar-2019
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Apr-2019,30-Jun-2019
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Oct-2018,31-Dec-2018
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Jan-2014,31-Mar-2014
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Jul-2019,30-Sep-2019
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Oct-2013,31-Dec-2013
EPA Region 6,063504119,NAMBE PUEBLO DEVELOPMENT CORPORATION,975,NAMBE,01-Jul-2011,30-Sep-2011
EPA Region 6,063506114,SANDIA RESORT & CASINO,"15,000",BERNALILLO,01-Oct-2010,31-Dec-2010
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Apr-2014,30-Jun-2014
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Oct-2010,31-Dec-2010
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Jul-2011,30-Sep-2011
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Oct-2011,31-Dec-2011
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Jul-2010,30-Sep-2010
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Apr-2011,30-Jun-2011
EPA Region 6,063506166,DREAMCATCHER CINEMA,654,ELKHART,01-Jan-2011,31-Mar-2011
EPA Region 7,070000002,KICKAPOO TRIBAL WATERWORKS,"1,949",HORTON,01-Jan-2004,31-Dec-2004
EPA Region 7,070000002,KICKAPOO TRIBAL WATERWORKS,"1,949",HORTON,01-Jan-2020,31-Dec-2020
EPA Region 8,083090009,HEART BUTTE SCHOOL,250,HEART BUTTE,01-Jan-2014,31-Dec-2016
EPA Region 8,083090011,CROW AGENCY WATER SYSTEM,"1,300",CROW AGENCY,01-Jan-2023,31-Dec-2023
EPA Region 8,083090012,PRYOR WATER SYSTEM,406,CROW AGENCY,01-Jan-2020,31-Dec-2022
EPA Region 8,083090012,PRYOR WATER SYSTEM,406,CROW AGENCY,01-Jan-2020,31-Dec-2022
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Jan-2013,31-Mar-2013
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Apr-2013,30-Jun-2013
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Jan-2018,31-Mar-2018
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Jul-2017,30-Sep-2017
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Oct-2017,31-Dec-2017
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Jan-2008,31-Dec-2008
EPA Region 8,083090023,DIXON (OLD AGENCY),72,PABLO,01-Jan-2007,31-Dec-2007
EPA Region 8,083090029,MISSION DAM WATER SYSTEM,87,PABLO,01-Jan-2014,31-Dec-2016
EPA Region 8,083090047,MNIHNAPA WATER SYSTEM,220,HARLEM,01-Jul-2019,30-Sep-2019
EPA Region 8,083090064,LAME DEER WATER SYSTEM,"3,160",LAME DEER,01-Jan-2005,31-Dec-2007
EPA Region 8,083090064,LAME DEER WATER SYSTEM,"3,160",LAME DEER,01-Jan-2005,31-Dec-2007
EPA Region 8,083090064,LAME DEER WATER SYSTEM,"3,160",LAME DEER,01-Jan-2005,31-Dec-2007
EPA Region 8,083090064,LAME DEER WATER SYSTEM,"3,160",LAME DEER,01-Jan-2005,31-Dec-2007
EPA Region 8,083090075,ROCKY BOY RURAL WATER,"2,000",BOX ELDER,01-Jan-2014,31-Dec-2016
EPA Region 8,083090075,ROCKY BOY RURAL WATER,"2,000",BOX ELDER,01-Jan-2014,31-Dec-2016
EPA Region 8,083090090,TWO MEDICINE WATER - EAST GLACIER,"1,504",BROWNING,01-Jan-2022,31-Dec-2022
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Jul-2019,30-Sep-2019
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Jul-2020,30-Sep-2020
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Jan-2020,31-Mar-2020
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Apr-2019,30-Jun-2019
EPA Region 8,083090312,HOT SPRINGS COURT,55,HOT SPRINGS,01-Oct-2019,31-Dec-2019
