City Name,State,Population,lat,lng
Skagway,Alaska,9411,59.4566,-135.2927
Ketchikan,Alaska,450,55.3556,-131.6698
Hydaburg,Alaska,415,55.2061,-132.8208
Coffman Cove,Alaska,199,56.0057,-132.8395
Ketchikan,Alaska,27,55.3556,-131.6698
Kasaan,Alaska,46,55.5572,-132.4136
Ketchikan,Alaska,60,55.3556,-131.6698
Angoon,Alaska,450,57.455,-134.4978
Hoonah,Alaska,980,58.1118,-135.4248
Kake,Alaska,415,56.9729,-133.9148
Pelican,Alaska,230,57.9576,-136.2176
Yakutat,Alaska,740,59.567,-139.5966
Anchorage,Alaska,100,61.1508,-149.1091
Eagle River,Alaska,47,61.2700284,-149.3863924
Anchorage,Alaska,993,61.1508,-149.1091
Anchorage,Alaska,480,61.1508,-149.1091
Anchorage,Alaska,45,61.1508,-149.1091
Chugiak,Alaska,99,61.3736751,-149.4949094405849
Anchorage,Alaska,493,61.1508,-149.1091
Anchorage,Alaska,48,61.1508,-149.1091
Anchorage,Alaska,130,61.1508,-149.1091
Anchorage,Alaska,350,61.1508,-149.1091
Anchorage,Alaska,70,61.1508,-149.1091
Anchorage,Alaska,63,61.1508,-149.1091
Anchorage,Alaska,650,61.1508,-149.1091
Anchorage,Alaska,1005,61.1508,-149.1091
Anchorage,Alaska,242,61.1508,-149.1091
Fairbanks,Alaska,20284,64.8353,-147.6533
Anchorage,Alaska,50,61.1508,-149.1091
Anchorage,Alaska,65,61.1508,-149.1091
Chugiak,Alaska,48,61.3736751,-149.4949094405849
Chugiak,Alaska,48,61.3736751,-149.4949094405849
Eagle River,Alaska,50,61.2700284,-149.3863924
Wasilla,Alaska,110,61.577,-149.466
Big Lake,Alaska,1166,61.526,-149.9721
Big Lake,Alaska,465,61.526,-149.9721
Anchorage,Alaska,55,61.1508,-149.1091
Anchorage,Alaska,232,61.1508,-149.1091
Enumclaw,Alaska,62,,
Anchorage,Alaska,50,61.1508,-149.1091
Big Lake,Alaska,75,61.526,-149.9721
Anchorage,Alaska,210,61.1508,-149.1091
Woods Cross,Alaska,192,,
Palmer,Alaska,188,61.5971,-149.1148
Wasilla,Alaska,72,61.577,-149.466
Wasilla,Alaska,276,61.577,-149.466
Big Lake,Alaska,30,61.526,-149.9721
Wasilla,Alaska,77,61.577,-149.466
Wasilla,Alaska,80,61.577,-149.466
Wasilla,Alaska,47,61.577,-149.466
Wasilla,Alaska,37,61.577,-149.466
Wasilla,Alaska,250,61.577,-149.466
Anchorage,Alaska,2733,61.1508,-149.1091
Anchorage,Alaska,75,61.1508,-149.1091
Wasilla,Alaska,575,61.577,-149.466
Anchorage,Alaska,180,61.1508,-149.1091
Wasilla,Alaska,100,61.577,-149.466
Palmer,Alaska,120,61.5971,-149.1148
Palmer,Alaska,120,61.5971,-149.1148
Anchorage,Alaska,147,61.1508,-149.1091
Wasilla,Alaska,75,61.577,-149.466
Wasilla,Alaska,168,61.577,-149.466
Wasilla,Alaska,74,61.577,-149.466
Wasilla,Alaska,90,61.577,-149.466
Wasilla,Alaska,546,61.577,-149.466
Wasilla,Alaska,18492,61.577,-149.466
Wasilla,Alaska,250,61.577,-149.466
Palmer,Alaska,1850,61.5971,-149.1148
Wasilla,Alaska,55,61.577,-149.466
Denali Park,Alaska,1156,63.5909,-148.7107
Wasilla,Alaska,1025,61.577,-149.466
Wasilla,Alaska,505,61.577,-149.466
Palmer,Alaska,47,61.5971,-149.1148
Palmer,Alaska,307,61.5971,-149.1148
Wasilla,Alaska,136,61.577,-149.466
Palmer,Alaska,56,61.5971,-149.1148
Palmer,Alaska,90,61.5971,-149.1148
Sutton,Alaska,110,61.7113889,-148.894166
