State,pws id,pws name,population,City Name,compliance period begin date,compliance period end date,lat,lng
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-03,31-Dec-05,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-06,31-Dec-08,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-05,31-Dec-07,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-06,31-Dec-08,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-05,31-Dec-07,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-03,31-Dec-05,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-14,31-Dec-16,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,1-Jan-17,31-Dec-19,59.4566,-135.2927
alaska,AK2120127,SAXMAN,450,ketchikan,1-Jan-04,31-Dec-04,55.3556,-131.6698
alaska,AK2120224,HYDABURG,415,hydaburg,1-Jan-04,31-Dec-04,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,1-Jan-12,31-Dec-12,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,1-Jan-07,31-Dec-07,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,1-Jan-08,31-Dec-08,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,1-Jan-06,31-Dec-06,55.2061,-132.8208
alaska,AK2120436,COFFMAN COVE,199,coffman cove,1-Jan-07,31-Dec-07,56.0057,-132.8395
alaska,AK2120436,COFFMAN COVE,199,coffman cove,1-Jan-10,31-Dec-10,56.0057,-132.8395
alaska,AK2120436,COFFMAN COVE,199,coffman cove,1-Jan-07,31-Dec-07,56.0057,-132.8395
alaska,AK2120575,CLOVER PASS COMMUNITY CHURCH,27,ketchikan,1-Jan-11,31-Dec-13,55.3556,-131.6698
alaska,AK2120575,CLOVER PASS COMMUNITY CHURCH,27,ketchikan,1-Jan-17,31-Dec-19,55.3556,-131.6698
alaska,AK2120606,KASAAN,46,kasaan,1-Jan-04,31-Dec-04,55.5572,-132.4136
alaska,AK2120606,KASAAN,46,kasaan,1-Jan-11,31-Dec-19,55.5572,-132.4136
alaska,AK2120606,KASAAN,46,kasaan,1-Jan-05,31-Dec-05,55.5572,-132.4136
alaska,AK2121123,PORT PROTECTION,60,ketchikan,1-Jan-11,31-Dec-13,55.3556,-131.6698
alaska,AK2130017,ANGOON PUBLIC WATER,450,angoon,1-Jan-07,31-Dec-07,57.455,-134.4978
alaska,AK2130067,HOONAH PWS,980,hoonah,1-Jan-11,31-Dec-19,58.1118,-135.4248
alaska,AK2130083,KAKE MUNICIPAL WATER,415,kake,1-Jan-04,31-Dec-04,56.9729,-133.9148
alaska,AK2130083,KAKE MUNICIPAL WATER,415,kake,1-Jan-08,31-Dec-08,56.9729,-133.9148
alaska,AK2130122,PELICAN UTILITIES,230,pelican,1-Jan-06,31-Dec-06,57.9576,-136.2176
alaska,AK2130172,YAKUTAT PWS,740,yakutat,1-Jan-18,31-Dec-20,59.567,-139.5966
alaska,AK2210312,AK CHILD AND FAMILY,100,anchorage,1-Jan-99,31-Dec-01,61.1508,-149.1091
alaska,AK2210354,INLET VIEW MHP CHUGIAK,47,eagle river,1-Jan-08,31-Dec-10,61.2700284,-149.3863924
alaska,AK2210354,INLET VIEW MHP CHUGIAK,47,eagle river,1-Jan-02,31-Dec-04,61.2700284,-149.3863924
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,1-Jan-11,31-Dec-11,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,1-Oct-10,31-Dec-10,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,1-Apr-14,30-Jun-14,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,1-Apr-10,30-Jun-10,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,1-Apr-15,30-Jun-15,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,1-Jul-09,30-Sep-09,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,1-Apr-15,30-Jun-15,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,1-Jul-14,30-Sep-14,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,1-Oct-15,31-Dec-15,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,1-Oct-16,31-Dec-16,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,1-Oct-14,31-Dec-14,61.1508,-149.1091
