State,pws id,pws name,population,City Name,compliance period begin date,compliance period end date,lat,lng
alaska,AK2110601,SKAGWAY,"9,411",skagway,2003-01-01,2005-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2006-01-01,2008-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2005-01-01,2007-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2006-01-01,2008-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2005-01-01,2007-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2003-01-01,2005-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2014-01-01,2016-12-31,59.4566,-135.2927
alaska,AK2110601,SKAGWAY,"9,411",skagway,2017-01-01,2019-12-31,59.4566,-135.2927
alaska,AK2120127,SAXMAN,450,ketchikan,2004-01-01,2004-12-31,55.3556,-131.6698
alaska,AK2120224,HYDABURG,415,hydaburg,2004-01-01,2004-12-31,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,2012-01-01,2012-12-31,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,2007-01-01,2007-12-31,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,2008-01-01,2008-12-31,55.2061,-132.8208
alaska,AK2120224,HYDABURG,415,hydaburg,2006-01-01,2006-12-31,55.2061,-132.8208
alaska,AK2120436,COFFMAN COVE,199,coffman cove,2007-01-01,2007-12-31,56.0057,-132.8395
alaska,AK2120436,COFFMAN COVE,199,coffman cove,2010-01-01,2010-12-31,56.0057,-132.8395
alaska,AK2120436,COFFMAN COVE,199,coffman cove,2007-01-01,2007-12-31,56.0057,-132.8395
alaska,AK2120575,CLOVER PASS COMMUNITY CHURCH,27,ketchikan,2011-01-01,2013-12-31,55.3556,-131.6698
alaska,AK2120575,CLOVER PASS COMMUNITY CHURCH,27,ketchikan,2017-01-01,2019-12-31,55.3556,-131.6698
alaska,AK2120606,KASAAN,46,kasaan,2004-01-01,2004-12-31,55.5572,-132.4136
alaska,AK2120606,KASAAN,46,kasaan,2011-01-01,2019-12-31,55.5572,-132.4136
alaska,AK2120606,KASAAN,46,kasaan,2005-01-01,2005-12-31,55.5572,-132.4136
alaska,AK2121123,PORT PROTECTION,60,ketchikan,2011-01-01,2013-12-31,55.3556,-131.6698
alaska,AK2130017,ANGOON PUBLIC WATER,450,angoon,2007-01-01,2007-12-31,57.455,-134.4978
alaska,AK2130067,HOONAH PWS,980,hoonah,2011-01-01,2019-12-31,58.1118,-135.4248
alaska,AK2130083,KAKE MUNICIPAL WATER,415,kake,2004-01-01,2004-12-31,56.9729,-133.9148
alaska,AK2130083,KAKE MUNICIPAL WATER,415,kake,2008-01-01,2008-12-31,56.9729,-133.9148
alaska,AK2130122,PELICAN UTILITIES,230,pelican,2006-01-01,2006-12-31,57.9576,-136.2176
alaska,AK2130172,YAKUTAT PWS,740,yakutat,2018-01-01,2020-12-31,59.567,-139.5966
alaska,AK2210312,AK CHILD AND FAMILY,100,anchorage,1999-01-01,2001-12-31,61.1508,-149.1091
alaska,AK2210354,INLET VIEW MHP CHUGIAK,47,eagle river,2008-01-01,2010-12-31,61.2700284,-149.3863924
alaska,AK2210354,INLET VIEW MHP CHUGIAK,47,eagle river,2002-01-01,2004-12-31,61.2700284,-149.3863924
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,2011-01-01,2011-12-31,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,2010-10-01,2010-12-31,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,2014-04-01,2014-06-30,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,2010-04-01,2010-06-30,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,2015-04-01,2015-06-30,61.1508,-149.1091
alaska,AK2210419,PENLAND PARK MHP,993,anchorage,2009-07-01,2009-09-30,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2015-04-01,2015-06-30,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2014-07-01,2014-09-30,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2015-10-01,2015-12-31,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2016-10-01,2016-12-31,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2014-10-01,2014-12-31,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2016-07-01,2016-09-30,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2014-01-01,2014-03-31,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2014-04-01,2014-06-30,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2016-01-01,2016-03-31,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2015-01-01,2015-03-31,61.1508,-149.1091
alaska,AK2210574,TOTEM TRAILER TOWN TC,480,anchorage,2015-07-01,2015-09-30,61.1508,-149.1091
alaska,AK2210702,ANCHORAGE JUNIOR ACADEMY,45,anchorage,2002-01-01,2004-12-31,61.1508,-149.1091
alaska,AK2210778,TROLL KNOLL S/D,99,chugiak,2008-01-01,2010-12-31,61.3736751,-149.4949094
alaska,AK2210778,TROLL KNOLL S/D,99,chugiak,2014-01-01,2016-12-31,61.3736751,-149.4949094
alaska,AK2211114,ROMIG PARK S/D,493,anchorage,2012-01-01,2012-03-31,61.1508,-149.1091
